gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log2FoldChange_shrunk,symbol
108075,2326.88115527377,-4.042151881535424,0.14392824716602465,-28.08449321885165,1.5152320885008536e-173,5.695417266532392e-171,-4.034496389651043,Ltbp4
14221,588.0426390069111,-4.225712850264122,0.15071121214542227,-28.038476966044854,5.520611932119512e-173,2.0335726113155435e-170,-4.21624005828013,Fjx1
20272,3230.591172818345,-8.011600690093811,0.2874230005621943,-27.87390248665995,5.529325370996156e-171,1.9968453859413177e-168,-7.99050031801366,Scn7a
110796,630.8548475236346,-1.9255698212446388,0.06976017989848383,-27.60270721845557,1.0324908821466413e-167,3.6570032821878537e-165,-1.922245924405024,Tshz1
28193,2860.4961759172547,-2.142103495012472,0.07814630589404786,-27.411449210622617,2.0030836650676943e-165,6.960904706267319e-163,-2.1374305257009727,Reep3
20583,883.3248967623571,-7.623280451716899,0.28700499003761143,-26.56149097170012,1.8919761440380743e-155,6.453040114980232e-153,-7.608954136856844,Snai2
77590,859.7202347429157,-6.900852471058767,0.2622883529479672,-26.31017501729388,1.4668142601591002e-152,4.911960917020056e-150,-6.88113892821048,Chst15
19699,2848.89016320815,-7.872631627679502,0.30236277247557064,-26.037040086724204,1.8863984669571506e-149,6.20422981507443e-147,-7.848910300712013,Reln
17183,414.67587964274475,-4.856644568514911,0.18726011471338347,-25.935285663732465,2.6649773603651318e-148,8.611149653193859e-146,-4.842308199112255,Matn4
109700,1800.1809399121057,-5.194552122173181,0.20046032286707166,-25.913118605609395,4.738456283320977e-148,1.504704962520789e-145,-5.179985914297474,Itga1
12288,998.801540946594,-4.339480048873893,0.1677127422537792,-25.874480320090935,1.2905985368860066e-147,4.028854890231605e-145,-4.327662978646077,Cacna1c
108927,3196.04965488912,-6.022688605844396,0.23448842793126218,-25.684374529603158,1.7473610230605532e-145,5.363815887121544e-143,-6.0035189851359725,Lhfpl6
20528,1164.1203561993605,-6.196428168680599,0.24133562732770808,-25.675563269680485,2.1917967230599246e-145,6.617788859888145e-143,-6.17797860022447,Slc2a4
100129,497.56998593597353,-4.980155962007956,0.1940226465239107,-25.66791068584985,2.6683863973025805e-145,7.926829139599827e-143,-4.965527018148637,Gpr153
12827,21905.288770984753,-6.5245736521433955,0.25459469480065106,-25.627296190331734,7.573968722760814e-145,2.214243745012836e-142,-6.504037562588433,Col4a2
242050,754.0412212643608,-7.035473047504762,0.2745416601439058,-25.626249378025165,7.780217903570708e-145,2.2390008335619578e-142,-7.018438290926626,Igsf10
233651,519.3813350937672,-6.089084189726061,0.23770377320897573,-25.616270652855317,1.0050678563896554e-144,2.847898427536104e-142,-6.070864152488912,Dchs1
212439,362.78966932431064,3.8238568878455403,0.14945455360724177,25.585415737110445,2.2170300797527665e-144,6.1868575771040084e-142,3.8175839428786347,AA986860
207818,308.1228437657151,2.7037464433842704,0.10569441297538708,25.580788683824643,2.496084216704658e-144,6.861623746756178e-142,2.696764251581077,Smagp
77579,1418.6642262603566,-3.21906796844227,0.12596411870911356,-25.55543595613922,4.777575236742455e-144,1.2940203045635669e-141,-3.2104795630135805,Myh10
50916,1201.0298991753043,-8.54900035522798,0.33459495452677335,-25.550296678319796,5.449135303587444e-144,1.4545242611807762e-141,-8.524994743383932,Irx4
94214,1304.3813031605605,-6.452556844929711,0.2526286881727297,-25.541663108814888,6.796086034069583e-144,1.788147322507051e-141,-6.431899245819596,Spock2
56069,1560.2230867434755,-8.424342537868709,0.3306456718756183,-25.478460038750374,3.4162586769576737e-143,8.862063705944568e-141,-8.40200262322726,Il17b
14726,1699.4311497208018,-7.879073788470416,0.309756718049668,-25.43632899418519,1.0001574354345924e-142,2.5584582841436557e-140,-7.852022351048079,Pdpn
268860,563.4400031438676,-6.165375834290056,0.24481708088584705,-25.18360161791504,6.058503367715755e-140,1.5285686989943666e-137,-6.151139690817723,Abat
19038,607.1645331083172,-4.958884764868751,0.1972648274675836,-25.138210539249027,1.9017162203108494e-139,4.733217479146652e-137,-4.944306982763015,Ppic
212980,776.6642595731745,2.8478002337921846,0.1136193203927461,25.064401229898568,1.2162993254259791e-138,2.9869067967594244e-136,2.8404597856716842,Slc45a3
20358,562.9566983428691,-3.705343076953051,0.14804954189196426,-25.02772402806177,3.0522901003023556e-138,7.396984087811682e-136,-3.694776746600456,Sema6a
13661,2163.7238257113254,4.694090671889765,0.18822870050640075,24.938230244702464,2.8653743890946417e-137,6.853826688096767e-135,4.676200223111332,Ehf
26362,3525.717904968562,-6.745421059369962,0.27065864878193474,-24.922244641827934,4.2710643575950402e-137,1.0085187607459673e-134,-6.7222273645698,Axl
20743,670.3791947507403,4.667029709026319,0.18891953000214287,24.70379694980917,9.73585476868709e-135,2.2698097864516306e-132,4.654471535014854,Sptbn2
16533,938.257155473415,-8.80773104592699,0.35673486767549933,-24.68985188725332,1.37464005767376e-134,3.1647650727794137e-132,-8.78523371003424,Kcnmb1
246228,3130.4513458620127,-5.632330072797809,0.22872951003483818,-24.624413666343006,6.919587035951217e-134,1.5733944941746855e-131,-5.616234294087979,Vwa1
17540,1367.1296190160317,-8.166067906671824,0.33249112594321983,-24.560258212925536,3.3605466816437534e-133,7.548115705184714e-131,-8.1379496877991,Irag1
13867,1258.906494636651,4.10442360257293,0.1671926633184613,24.54906525865314,4.425561699638255e-133,9.820481371558723e-131,4.0925049732586,Erbb3
76088,1321.2304036214136,4.503551859537855,0.1835126841728681,24.54082059687782,5.420005095482125e-133,1.1884006410546402e-130,4.491588821370506,Dock8
16590,1857.8662430500153,4.8997124195429995,0.19982456111771052,24.52007096693549,9.0244495629865e-133,1.9554389653068867e-130,4.8902106581411555,Kit
68347,423.54328933112794,1.978042073647974,0.08076428273633482,24.49154510670938,1.8176816566937942e-132,3.892797761975151e-130,1.9736266759435552,Mettl26
16971,6058.016823216024,-4.8321607739334445,0.1980300746912513,-24.40114604545429,1.6629432246745646e-131,3.520469920925992e-129,-4.814764855198996,Lrp1
19122,2225.356503676294,-3.142960282609332,0.12912140897972163,-24.34112443044151,7.198254376526771e-131,1.506561921668978e-128,-3.134083073598489,Prnp
68810,1098.8158059862246,-7.583833664035058,0.31178087046621233,-24.32424302586235,1.0862319551162232e-130,2.2478899044191685e-128,-7.55302947223852,Nexn
16667,20186.650761948713,-7.3319937191178655,0.30216350146895476,-24.264987940216788,4.593880692061284e-130,9.401121620709414e-128,-7.30455992943099,Krt17
241556,481.549795052239,-6.31915648815992,0.26368773247419125,-23.964544838195742,6.517570153064522e-127,1.319127550320246e-124,-6.2972385551654835,Tspan18
104099,974.8046669602072,-6.705487630590638,0.2801506679787844,-23.935290531231,1.3149150167517153e-126,2.632402693318814e-124,-6.688318269863152,Itga9
26432,389.7010758974802,-5.063087744036432,0.21155019035993541,-23.933269619951655,1.3801956129838826e-126,2.7333809462298007e-124,-5.046259036266558,Plod2
30785,547.8156664770244,-6.813727392247105,0.28493192727963773,-23.913527196831055,2.2152238682061035e-126,4.3404248090021284e-124,-6.791264264390288,Cttnbp2
12111,3924.72348027017,-6.4290526990417804,0.2691416057908937,-23.88724953969679,4.155760018003198e-126,8.056925053850832e-124,-6.402948507916213,Bgn
12289,614.9963367446561,-5.056348259661798,0.21241869930492516,-23.80368713398181,3.058691009701554e-125,5.8682261475711686e-123,-5.038665035548921,Cacna1d
12162,830.962582157851,-5.641146905279498,0.23699379635065684,-23.802930676433558,3.114363853015716e-125,5.913438499468398e-123,-5.623234009147408,Bmp7
109205,727.1171658409238,-8.792129126499848,0.36979109555687417,-23.77593520271126,5.926078613540199e-125,1.113739958205953e-122,-8.759771707367053,Sobp
